review_id,product_id,user_id,rating,review_title,review_text,sentiment,review_date,verified_purchase
REV00001,P0380,U0196,3,Okay for the price,"It's okay, not the best but not the worst either.",Neutral,2026-06-20,TRUE
REV00002,P0398,U0208,5,Loved it!,Very satisfied with the build quality and finish.,Positive,2026-04-10,TRUE
REV00003,P0022,U0189,4,Highly recommended,"Excellent quality and fast delivery, will buy again.",Positive,2025-08-29,TRUE
REV00004,P0066,U0397,3,Decent,"Average product, does the job but nothing special.",Neutral,2026-08-04,TRUE
REV00005,P0192,U0256,4,Loved it!,"Amazing battery life and performance, very happy with this purchase.",Positive,2026-02-04,TRUE
REV00006,P0120,U0031,5,Excellent quality,"Worth every rupee, quality exceeded my expectations.",Positive,2026-01-23,TRUE
REV00007,P0001,U0370,4,Amazing product!,Works perfectly and looks great. Highly recommend to everyone.,Positive,2026-06-28,TRUE
REV00008,P0267,U0165,4,Best in this price range,"Superb product, using it daily without any issues.",Positive,2026-05-01,TRUE
REV00009,P0004,U0118,3,Okay for the price,"Average product, does the job but nothing special.",Neutral,2026-07-25,TRUE
REV00010,P0158,U0234,4,Worth every rupee,"Worth every rupee, quality exceeded my expectations.",Positive,2026-07-08,TRUE
REV00011,P0251,U0160,4,Excellent quality,"Perfect for daily use, sturdy and reliable.",Positive,2026-03-18,TRUE
REV00012,P0289,U0210,5,Great purchase,"Worth every rupee, quality exceeded my expectations.",Positive,2026-05-21,TRUE
REV00013,P0287,U0187,3,Okay for the price,"Reasonable purchase, packaging could be improved though.",Neutral,2026-01-31,TRUE
REV00014,P0058,U0217,4,Superb build quality,Very satisfied with the build quality and finish.,Positive,2026-07-03,TRUE
REV00015,P0220,U0453,2,Not worth it,"Battery drains quickly, not satisfied with performance.",Negative,2026-07-10,TRUE
REV00016,P0383,U0452,4,Superb build quality,"Great value for money, exactly as described.",Positive,2025-10-16,TRUE
REV00017,P0163,U0187,4,Loved it!,"Excellent quality and fast delivery, will buy again.",Positive,2025-05-02,TRUE
REV00018,P0006,U0234,4,Worth every rupee,"Perfect for daily use, sturdy and reliable.",Positive,2026-07-16,TRUE
REV00019,P0285,U0288,3,Could be better,"It's okay, not the best but not the worst either.",Neutral,2026-03-10,TRUE
REV00020,P0086,U0384,3,Average product,"Decent quality, meets basic expectations.",Neutral,2025-12-16,TRUE
REV00021,P0274,U0459,4,Superb build quality,Very satisfied with the build quality and finish.,Positive,2025-11-13,TRUE
REV00022,P0307,U0044,4,Worth every rupee,"Great value for money, exactly as described.",Positive,2026-07-07,TRUE
REV00023,P0340,U0110,4,Excellent quality,"Amazing battery life and performance, very happy with this purchase.",Positive,2026-07-29,TRUE
REV00024,P0383,U0346,3,Decent,"Average product, does the job but nothing special.",Neutral,2026-07-17,TRUE
REV00025,P0147,U0168,3,Decent,"Reasonable purchase, packaging could be improved though.",Neutral,2026-06-12,TRUE
REV00026,P0317,U0063,3,Average product,"Good for the price, but there is room for improvement.",Neutral,2026-02-12,TRUE
REV00027,P0247,U0320,3,Could be better,"Decent quality, meets basic expectations.",Neutral,2024-12-31,TRUE
REV00028,P0039,U0189,4,Superb build quality,"Great value for money, exactly as described.",Positive,2025-02-12,TRUE
REV00029,P0319,U0216,3,Decent,"Good for the price, but there is room for improvement.",Neutral,2026-01-09,TRUE
REV00030,P0230,U0400,5,Superb build quality,Very satisfied with the build quality and finish.,Positive,2026-07-17,TRUE
REV00031,P0339,U0296,5,Worth every rupee,"Excellent quality and fast delivery, will buy again.",Positive,2026-07-14,TRUE
REV00032,P0126,U0206,2,Below expectations,"Not as described, quite disappointed with this purchase.",Negative,2025-10-30,FALSE
REV00033,P0168,U0012,4,Excellent quality,"Excellent quality and fast delivery, will buy again.",Positive,2025-10-23,TRUE
REV00034,P0263,U0195,4,Great purchase,"Great value for money, exactly as described.",Positive,2025-11-05,TRUE
REV00035,P0066,U0372,3,Decent,"Average product, does the job but nothing special.",Neutral,2026-02-17,TRUE
REV00036,P0355,U0287,2,Poor quality,"Battery drains quickly, not satisfied with performance.",Negative,2026-06-29,TRUE
