order_item_id,order_id,product_id,quantity,unit_price,discount,subtotal
OI000001,ORD00001,P0040,1,90189.0,4509.45,85679.55
OI000002,ORD00001,P0246,3,1377.5,0.0,4132.5
OI000003,ORD00001,P0351,1,922.5,46.12,876.38
OI000004,ORD00001,P0148,1,855.95,0.0,855.95
OI000005,ORD00002,P0345,3,1413.6,0.0,4240.8
OI000006,ORD00002,P0051,3,3536.0,212.16,10395.84
OI000007,ORD00003,P0103,2,24800.0,992.0,48608.0
OI000008,ORD00003,P0160,1,329.4,16.47,312.93
OI000009,ORD00003,P0044,2,11970.0,0.0,23940.0
OI000010,ORD00003,P0243,2,1389.0,0.0,2778.0
OI000011,ORD00003,P0009,1,14017.5,0.0,14017.5
OI000012,ORD00004,P0058,2,4869.0,0.0,9738.0
OI000013,ORD00004,P0361,2,4263.0,170.52,8355.48
OI000014,ORD00005,P0177,2,618.8,0.0,1237.6
OI000015,ORD00006,P0101,2,461.3,0.0,922.6
OI000016,ORD00006,P0366,1,13920.0,278.4,13641.6
OI000017,ORD00006,P0007,2,889.5,88.95,1690.05
OI000018,ORD00006,P0379,1,154.7,0.0,154.7
OI000019,ORD00006,P0149,2,3784.0,0.0,7568.0
OI000020,ORD00007,P0262,1,827.25,0.0,827.25
OI000021,ORD00007,P0162,2,130020.0,0.0,260040.0
OI000022,ORD00008,P0386,3,981.75,0.0,2945.25
OI000023,ORD00008,P0071,2,11925.0,0.0,23850.0
OI000024,ORD00009,P0134,2,12300.0,1230.0,23370.0
OI000025,ORD00009,P0208,3,8140.0,488.4,23931.6
OI000026,ORD00009,P0336,1,2520.0,0.0,2520.0
OI000027,ORD00009,P0123,3,242.4,0.0,727.2
OI000028,ORD00009,P0155,1,42337.5,0.0,42337.5
OI000029,ORD00010,P0090,3,11600.0,0.0,34800.0
OI000030,ORD00010,P0176,2,55928.0,0.0,111856.0
OI000031,ORD00011,P0139,2,2590.0,0.0,5180.0
OI000032,ORD00012,P0048,2,2213.5,88.54,4338.46
OI000033,ORD00012,P0139,2,2590.0,0.0,5180.0
OI000034,ORD00012,P0128,1,504.0,0.0,504.0
OI000035,ORD00012,P0197,1,472.0,9.44,462.56
OI000036,ORD00013,P0128,3,504.0,0.0,1512.0
OI000037,ORD00013,P0056,3,3800.0,228.0,11172.0
OI000038,ORD00013,P0115,1,479.25,23.96,455.29
OI000039,ORD00013,P0080,1,36824.0,0.0,36824.0
OI000040,ORD00013,P0078,1,765.0,0.0,765.0
OI000041,ORD00014,P0392,1,1070.1,0.0,1070.1
OI000042,ORD00014,P0058,2,4869.0,486.9,9251.1
OI000043,ORD00015,P0331,3,5200.0,0.0,15600.0
OI000044,ORD00015,P0125,1,608.0,12.16,595.84
OI000045,ORD00015,P0244,3,24093.0,0.0,72279.0
OI000046,ORD00015,P0270,1,2265.0,0.0,2265.0
OI000047,ORD00015,P0121,1,1665.0,33.3,1631.7
OI000048,ORD00016,P0357,3,7182.5,430.95,21116.55
OI000049,ORD00016,P0174,2,312.8,12.51,613.09
OI000050,ORD00017,P0103,1,24800.0,0.0,24800.0
OI000051,ORD00017,P0160,2,329.4,0.0,658.8
OI000052,ORD00018,P0029,1,102.6,0.0,102.6
OI000053,ORD00018,P0305,3,11367.0,0.0,34101.0
OI000054,ORD00018,P0075,2,2147.0,0.0,4294.0
OI000055,ORD00018,P0202,3,801.0,0.0,2403.0
OI000056,ORD00018,P0028,1,29984.0,599.68,29384.32
OI000057,ORD00019,P0269,3,496.0,29.76,1458.24
OI000058,ORD00020,P0042,2,485.45,19.42,951.48
OI000059,ORD00021,P0026,2,7047.0,0.0,14094.0
OI000060,ORD00021,P0362,2,9486.0,948.6,18023.4
OI000061,ORD00022,P0127,2,2488.0,0.0,4976.0
