product_id,product_name,brand,category,sub_category,description,price,cost_price,discount_percentage,final_price,stock_quantity,reorder_level,supplier_name,sku,rating,total_reviews,total_sold,warranty_months,weight,color,specifications,launch_date,status,image_url
P0001,Penguin Non-Fiction,Penguin,Books,Non-Fiction,"A budget-friendly yet durable non-fiction from Penguin, ideal for households looking for good value.",261.0,208.89,0,261.0,318,37,Penguin India Distributors,SKU-BOO-0001,3.7,3,32,0,9.45,Beige,"Beige, 9.45kg",2024-08-14,Active,https://source.unsplash.com/400x400/?nonfiction+book&sig=1
P0002,Allen Solly Saree,Allen Solly,Fashion,Saree,"This saree by Allen Solly combines quality materials with an attractive design, perfect for daily needs.",4210.0,3020.28,20,3368.0,137,15,Allen Solly India Distributors,SKU-FAS-0002,3.7,6,45,0,10.02,Gold,"Gold, 10.02kg",2026-06-19,Active,https://source.unsplash.com/400x400/?saree+indian&sig=2
P0003,boAt Galaxy M14,boAt,Electronics,Smartphone,"A budget-friendly yet durable smartphone from boAt, ideal for households looking for good value.",79590.0,64567.71,0,79590.0,186,33,boAt India Distributors,SKU-ELE-0003,4.6,12,57,24,21.74,Grey,"Grey, 21.74kg, Warranty: 24 months",2024-12-10,Active,https://source.unsplash.com/400x400/?smartphone&sig=3
P0004,boAt Bluetooth Speaker,boAt,Electronics,Bluetooth Speaker,"A reliable bluetooth speaker from boAt, designed for everyday use with a great balance of performance and value.",5860.0,4613.21,25,4395.0,234,24,boAt India Distributors,SKU-ELE-0004,3.3,9,39,36,9.07,Black,"Black, 9.07kg, Warranty: 36 months",2026-05-17,Out of Stock,https://source.unsplash.com/400x400/?bluetooth+speaker&sig=4
P0005,MDH Cooking Oil,MDH,Groceries,Cooking Oil,"Experience top performance with the MDH cooking oil, trusted by thousands of happy customers across India.",658.0,458.44,25,493.5,170,26,MDH India Distributors,SKU-GRO-0005,4.4,8,44,0,21.44,White,"White, 21.44kg",2026-06-12,Out of Stock,https://source.unsplash.com/400x400/?cooking+oil+bottle&sig=5
P0006,Pepperfry Chair,Pepperfry,Furniture,Chair,"A reliable chair from Pepperfry, designed for everyday use with a great balance of performance and value.",5470.0,3768.91,5,5196.5,425,46,Pepperfry India Distributors,SKU-FUR-0006,4.0,5,30,6,12.5,White,"White, 12.5kg, Warranty: 6 months",2024-12-15,Out of Stock,https://source.unsplash.com/400x400/?chair+furniture&sig=6
P0007,Mamaearth Shampoo,Mamaearth,Beauty,Shampoo,"Mamaearth brings you this premium shampoo, built to last with modern features that customers love.",1186.0,881.63,25,889.5,465,30,Mamaearth India Distributors,SKU-BEA-0007,4.4,7,33,0,18.86,Pink,"Pink, 18.86kg",2025-01-28,Out of Stock,https://source.unsplash.com/400x400/?shampoo+hair+care&sig=7
P0008,Tata Rice,Tata,Groceries,Rice,"Tata brings you this premium rice, built to last with modern features that customers love.",427.0,362.38,0,427.0,56,13,Tata India Distributors,SKU-GRO-0008,3.4,5,36,0,16.68,Pink,"Pink, 16.68kg",2025-04-27,Active,https://source.unsplash.com/400x400/?rice+grains&sig=8
P0009,Whirlpool Vacuum Cleaner,Whirlpool,Home Appliances,Vacuum Cleaner,"A budget-friendly yet durable vacuum cleaner from Whirlpool, ideal for households looking for good value.",18690.0,14516.7,25,14017.5,29,7,Whirlpool India Distributors,SKU-HOM-0009,4.3,6,27,24,16.14,Green,"Green, 16.14kg, Warranty: 24 months",2024-10-12,Out of Stock,https://source.unsplash.com/400x400/?vacuum+cleaner&sig=9
P0010,Havells Water Purifier,Havells,Home Appliances,Water Purifier,"A reliable water purifier from Havells, designed for everyday use with a great balance of performance and value.",14460.0,11669.46,20,11568.0,391,31,Havells India Distributors,SKU-HOM-0010,4.2,6,32,0,8.57,Gold,"Gold, 8.57kg",2024-11-06,Out of Stock,https://source.unsplash.com/400x400/?water+purifier&sig=10
P0011,Samsung Microwave Oven,Samsung,Home Appliances,Microwave Oven,"A budget-friendly yet durable microwave oven from Samsung, ideal for households looking for good value.",16460.0,11118.46,15,13991.0,453,43,Samsung India Distributors,SKU-HOM-0011,4.2,10,45,12,4.83,Green,"Green, 4.83kg, Warranty: 12 months",2026-02-06,Active,https://source.unsplash.com/400x400/?microwave+oven&sig=11
P0012,Biba Jacket,Biba,Fashion,Jacket,"A reliable jacket from Biba, designed for everyday use with a great balance of performance and value.",4990.0,4175.56,5,4740.5,235,32,Biba India Distributors,SKU-FAS-0012,4.1,8,41,0,21.32,Silver,"Silver, 21.32kg",2026-02-09,Active,https://source.unsplash.com/400x400/?jacket+fashion&sig=12
P0013,Rupa Publications Fiction,Rupa Publications,Books,Fiction,"A budget-friendly yet durable fiction from Rupa Publications, ideal for households looking for good value.",861.0,645.72,25,645.75,44,9,Rupa Publications India Distributors,SKU-BOO-0013,4.1,7,41,0,7.79,White,"White, 7.79kg",2025-06-30,Active,https://source.unsplash.com/400x400/?fiction+books&sig=13
P0014,Oxford Press Children's Books,Oxford Press,Books,Children's Books,"Oxford Press brings you this premium children's books, built to last with modern features that customers love.",387.0,300.4,10,348.3,232,20,Oxford Press India Distributors,SKU-BOO-0014,4.0,4,31,0,21.22,Red,"Red, 21.22kg",2025-03-10,Out of Stock,https://source.unsplash.com/400x400/?children+books&sig=14
P0015,Godrej Interio Bed,Godrej Interio,Furniture,Bed,"A reliable bed from Godrej Interio, designed for everyday use with a great balance of performance and value.",42080.0,33883.14,25,31560.0,338,34,Godrej Interio India Distributors,SKU-FUR-0015,4.6,7,44,24,9.87,Green,"Green, 9.87kg, Warranty: 24 months",2026-02-19,Active,https://source.unsplash.com/400x400/?bed+furniture&sig=15
P0016,Biba Handbag,Biba,Fashion,Handbag,"Experience top performance with the Biba handbag, trusted by thousands of happy customers across India.",3930.0,2861.88,30,2751.0,332,29,Biba India Distributors,SKU-FAS-0016,4.4,8,50,0,3.36,Gold,"Gold, 3.36kg",2024-11-14,Active,https://source.unsplash.com/400x400/?handbag&sig=16
P0017,Dove Sunscreen,Dove,Beauty,Sunscreen,"Dove brings you this premium sunscreen, built to last with modern features that customers love.",1415.0,1005.8,5,1344.25,273,19,Dove India Distributors,SKU-BEA-0017,4.2,4,32,0,20.13,Red,"Red, 20.13kg",2025-03-18,Out of Stock,https://source.unsplash.com/400x400/?sunscreen+spf&sig=17
P0018,Nike Cycling Helmet,Nike,Sports,Cycling Helmet,"Nike brings you this premium cycling helmet, built to last with modern features that customers love.",730.0,580.49,0,730.0,314,45,Nike India Distributors,SKU-SPO-0018,2.7,3,43,0,2.49,Brown,"Brown, 2.49kg",2024-10-03,Active,https://source.unsplash.com/400x400/?cycling+helmet&sig=18
P0019,Lakme Perfume,Lakme,Beauty,Perfume,"Lakme brings you this premium perfume, built to last with modern features that customers love.",880.0,662.72,15,748.0,273,29,Lakme India Distributors,SKU-BEA-0019,2.9,12,40,0,3.06,Green,"Green, 3.06kg",2024-09-10,Active,https://source.unsplash.com/400x400/?perfume+bottle&sig=19
P0020,MDH Snacks,MDH,Groceries,Snacks,"Experience top performance with the MDH snacks, trusted by thousands of happy customers across India.",285.0,239.66,20,228.0,375,48,MDH India Distributors,SKU-GRO-0020,4.3,3,32,0,9.61,Pink,"Pink, 9.61kg",2026-06-03,Out of Stock,https://source.unsplash.com/400x400/?snacks+chips&sig=20
P0021,Amul Beverages,Amul,Groceries,Beverages,"A reliable beverages from Amul, designed for everyday use with a great balance of performance and value.",246.0,165.8,0,246.0,34,7,Amul India Distributors,SKU-GRO-0021,3.9,7,38,0,14.37,Gold,"Gold, 14.37kg",2026-03-30,Active,https://source.unsplash.com/400x400/?beverage+drink&sig=21
P0022,MDH Dairy Products,MDH,Groceries,Dairy Products,"A budget-friendly yet durable dairy products from MDH, ideal for households looking for good value.",356.0,238.13,5,338.2,160,20,MDH India Distributors,SKU-GRO-0022,4.1,9,46,0,2.58,White,"White, 2.58kg",2024-12-13,Out of Stock,https://source.unsplash.com/400x400/?dairy+milk+products&sig=22
P0023,Adidas Dumbbells,Adidas,Sports,Dumbbells,"A reliable dumbbells from Adidas, designed for everyday use with a great balance of performance and value.",4870.0,3345.58,0,4870.0,194,22,Adidas India Distributors,SKU-SPO-0023,4.5,4,17,0,20.94,Beige,"Beige, 20.94kg",2026-01-20,Out of Stock,https://source.unsplash.com/400x400/?dumbbells+gym&sig=23
P0024,Dove Hair Oil,Dove,Beauty,Hair Oil,"A reliable hair oil from Dove, designed for everyday use with a great balance of performance and value.",653.0,440.66,10,587.7,313,48,Dove India Distributors,SKU-BEA-0024,3.7,7,34,0,11.24,Silver,"Silver, 11.24kg",2026-02-26,Active,https://source.unsplash.com/400x400/?hair+oil+beauty&sig=24
P0025,Levis T-Shirt,Levis,Fashion,T-Shirt,"A reliable t-shirt from Levis, designed for everyday use with a great balance of performance and value.",519.0,358.76,5,493.05,18,5,Levis India Distributors,SKU-FAS-0025,3.4,7,36,0,7.53,Beige,"Beige, 7.53kg",2026-01-07,Active,https://source.unsplash.com/400x400/?tshirt+fashion&sig=25
P0026,Cosco Badminton Racket,Cosco,Sports,Badminton Racket,"Experience top performance with the Cosco badminton racket, trusted by thousands of happy customers across India.",7830.0,6120.18,10,7047.0,121,8,Cosco India Distributors,SKU-SPO-0026,4.6,7,42,0,14.47,Silver,"Silver, 14.47kg",2024-12-28,Inactive,https://source.unsplash.com/400x400/?badminton+racket&sig=26
P0027,boAt Smartwatch,boAt,Electronics,Smartwatch,"This smartwatch by boAt combines quality materials with an attractive design, perfect for daily needs.",15750.0,11845.86,0,15750.0,310,46,boAt India Distributors,SKU-ELE-0027,3.8,6,39,12,23.94,Gold,"Gold, 23.94kg, Warranty: 12 months",2025-03-15,Active,https://source.unsplash.com/400x400/?smartwatch&sig=27
P0028,Prestige Air Conditioner,Prestige,Home Appliances,Air Conditioner,"Experience top performance with the Prestige air conditioner, trusted by thousands of happy customers across India.",37480.0,29827.37,20,29984.0,16,5,Prestige India Distributors,SKU-HOM-0028,3.2,6,37,24,2.17,Grey,"Grey, 2.17kg, Warranty: 24 months",2025-11-17,Active,https://source.unsplash.com/400x400/?air+conditioner&sig=28
P0029,Britannia Spices,Britannia,Groceries,Spices,"A budget-friendly yet durable spices from Britannia, ideal for households looking for good value.",114.0,78.75,10,102.6,261,39,Britannia India Distributors,SKU-GRO-0029,3.2,11,73,0,4.18,Blue,"Blue, 4.18kg",2026-04-18,Active,https://source.unsplash.com/400x400/?spices+indian&sig=29
P0030,Bloomsbury Biography,Bloomsbury,Books,Biography,"Experience top performance with the Bloomsbury biography, trusted by thousands of happy customers across India.",503.0,423.93,10,452.7,6,5,Bloomsbury India Distributors,SKU-BOO-0030,3.9,10,43,0,8.3,White,"White, 8.3kg",2024-10-13,Active,https://source.unsplash.com/400x400/?biography+book&sig=30
P0031,LOreal Lipstick,LOreal,Beauty,Lipstick,"A reliable lipstick from LOreal, designed for everyday use with a great balance of performance and value.",1200.0,815.12,10,1080.0,111,7,LOreal India Distributors,SKU-BEA-0031,3.8,6,39,0,4.48,Grey,"Grey, 4.48kg",2024-12-11,Inactive,https://source.unsplash.com/400x400/?lipstick+makeup&sig=31
P0032,Allen Solly Jeans,Allen Solly,Fashion,Jeans,"This jeans by Allen Solly combines quality materials with an attractive design, perfect for daily needs.",970.0,698.19,10,873.0,244,22,Allen Solly India Distributors,SKU-FAS-0032,2.5,11,48,0,4.6,Pink,"Pink, 4.6kg",2025-09-09,Inactive,https://source.unsplash.com/400x400/?jeans+fashion&sig=32
P0033,Philips Washing Machine,Philips,Home Appliances,Washing Machine,"Philips brings you this premium washing machine, built to last with modern features that customers love.",40540.0,33239.8,25,30405.0,287,19,Philips India Distributors,SKU-HOM-0033,4.0,3,26,0,9.53,Grey,"Grey, 9.53kg",2024-12-31,Out of Stock,https://source.unsplash.com/400x400/?washing+machine&sig=33
P0034,Nike Football,Nike,Sports,Football,"This football by Nike combines quality materials with an attractive design, perfect for daily needs.",2940.0,2327.01,10,2646.0,305,39,Nike India Distributors,SKU-SPO-0034,4.2,6,52,0,12.61,Grey,"Grey, 12.61kg",2025-11-29,Active,https://source.unsplash.com/400x400/?football&sig=34
P0035,Durian Wardrobe,Durian,Furniture,Wardrobe,"This wardrobe by Durian combines quality materials with an attractive design, perfect for daily needs.",38020.0,31415.07,10,34218.0,101,18,Durian India Distributors,SKU-FUR-0035,4.2,11,65,24,15.9,White,"White, 15.9kg, Warranty: 24 months",2024-11-07,Active,https://source.unsplash.com/400x400/?wardrobe+furniture&sig=35
P0036,Penguin Academic,Penguin,Books,Academic,"A budget-friendly yet durable academic from Penguin, ideal for households looking for good value.",660.0,436.58,10,594.0,264,41,Penguin India Distributors,SKU-BOO-0036,3.7,3,29,0,12.04,Beige,"Beige, 12.04kg",2024-12-24,Out of Stock,https://source.unsplash.com/400x400/?textbook+study&sig=36
P0037,Ray-Ban Sunglasses,Ray-Ban,Fashion,Sunglasses,"This sunglasses by Ray-Ban combines quality materials with an attractive design, perfect for daily needs.",2910.0,2127.48,10,2619.0,430,63,Ray-Ban India Distributors,SKU-FAS-0037,3.6,10,46,0,24.86,Pink,"Pink, 24.86kg",2025-04-14,Inactive,https://source.unsplash.com/400x400/?sunglasses&sig=37
P0038,Maybelline Face Cream,Maybelline,Beauty,Face Cream,"A reliable face cream from Maybelline, designed for everyday use with a great balance of performance and value.",1277.0,985.17,5,1213.15,326,50,Maybelline India Distributors,SKU-BEA-0038,3.9,10,29,0,21.0,Beige,"Beige, 21.0kg",2025-08-17,Active,https://source.unsplash.com/400x400/?face+cream+skincare&sig=38
